Front	Back	Tags
Rendering pipeline	Ordered process that transforms scene primitives into fragments and final pixels.	cs8165 rendering_pipeline
Vertex	Input point with attributes such as position, normal, color, and texture coordinates.	cs8165 vertex
Primitive	Geometric unit assembled from vertices, for example a triangle.	cs8165 primitive
Fragment	Pixel candidate generated by rasterization before all tests and framebuffer operations.	cs8165 fragment
Framebuffer	Storage for rendered image data and buffers such as color and depth.	cs8165 framebuffer
Vertex shader	Programmable stage that processes vertices and usually applies transformations.	cs8165 vertex_shader
Fragment shader	Programmable stage that computes per-fragment output such as color.	cs8165 fragment_shader
Homogeneous coordinates	Coordinate representation enabling affine transformations and perspective projection with matrices.	cs8165 homogeneous_coordinates
Affine transformation	Transformation preserving lines and parallelism, including translation, rotation, scaling, and shear.	cs8165 affine_transformation
Transformation order	Important because matrix multiplication is generally not commutative.	cs8165 transformation_order
View transformation	Transforms world coordinates into camera/view coordinates.	cs8165 view_transformation
Projection transformation	Maps view-space geometry into clip/canonical coordinates for projection.	cs8165 projection_transformation
Perspective projection	Projection where distant objects appear smaller and homogeneous division is essential.	cs8165 perspective_projection
Orthographic projection	Projection without perspective shortening; parallel lines remain parallel.	cs8165 orthographic_projection
Clipping	Removing or cutting primitive parts outside the view or clip region.	cs8165 clipping
Analytical clipping	Clipping before rasterization by modifying or rejecting primitives.	cs8165 analytical_clipping
Pixel-based clipping	Clipping during or after raster conversion using pixel/fragments regions.	cs8165 pixel_based_clipping
Rasterization	Conversion of geometric primitives into fragments on a raster grid.	cs8165 rasterization
Barycentric interpolation	Interpolation over a triangle using weights relative to the triangle vertices.	cs8165 barycentric_interpolation
Depth buffer	Buffer storing depth values used for visibility decisions.	cs8165 depth_buffer
Z-buffer algorithm	Per-fragment depth comparison approach for hidden surface removal.	cs8165 z_buffer_algorithm
Back-face culling	Rejecting surfaces facing away from the camera for closed opaque objects.	cs8165 back_face_culling
Local illumination	Lighting model considering direct light interaction at a surface point.	cs8165 local_illumination
Ambient term	Simple approximation of constant background light.	cs8165 ambient_term
Diffuse term	View-independent light reflection based on surface normal and light direction.	cs8165 diffuse_term
Specular term	View-dependent highlight component modeling shiny reflection.	cs8165 specular_term
Phong model	Local illumination model with ambient, diffuse, and specular components.	cs8165 phong_model
Blinn-Phong	Specular variant using the half-vector between light and view directions.	cs8165 blinn_phong
Texture	Sampled data field used during rendering, commonly image data mapped onto geometry.	cs8165 texture
Texel	Texture element analogous to a sample in texture space.	cs8165 texel
Texture coordinates	Coordinates used to look up texture data for a surface point.	cs8165 texture_coordinates
Mipmapping	Using prefiltered lower-resolution texture levels to reduce aliasing.	cs8165 mipmapping
Aliasing	Sampling artifact caused by insufficient sampling of high-frequency content.	cs8165 aliasing
Shadow mapping	Two-pass shadow algorithm comparing camera fragments to depth from the light.	cs8165 shadow_mapping
Shadow bias	Offset used in shadow mapping to reduce self-shadowing artifacts.	cs8165 shadow_bias
Kapitel 01 Must 1	Explain what interactive computer graphics studies and why real-time constraints matter.	cs8165 chapter_01 must
Kapitel 01 Must 2	Distinguish modeling, rendering, visibility, illumination, and interaction at a high level.	cs8165 chapter_01 must
