lecture_id	lecture_title	term	definition	match_reason	common_distractor
01	Introduction	raster image	A grid of stored pixel samples; it is already an image, not a 3D scene.	Belongs to the chain: scene or image description -> representation choice -> sampling or rendering process -> visible image -> interaction or analysis	Do not confuse an image representation with the geometric cause of the image.
01	Introduction	pixel	A discrete image sample containing color or channel values.	Belongs to the chain: scene or image description -> representation choice -> sampling or rendering process -> visible image -> interaction or analysis	Do not confuse an image representation with the geometric cause of the image.
01	Introduction	color depth	The number of bits used to represent color values, controlling precision and memory size.	Belongs to the chain: scene or image description -> representation choice -> sampling or rendering process -> visible image -> interaction or analysis	Do not confuse an image representation with the geometric cause of the image.
01	Introduction	3D model	A structured description of geometry and attributes that can generate many possible images.	Belongs to the chain: scene or image description -> representation choice -> sampling or rendering process -> visible image -> interaction or analysis	Do not confuse an image representation with the geometric cause of the image.
01	Introduction	primitive	A basic geometric object such as a point, line, or triangle used by the rendering pipeline.	Belongs to the chain: scene or image description -> representation choice -> sampling or rendering process -> visible image -> interaction or analysis	Do not confuse an image representation with the geometric cause of the image.
01	Introduction	interactive graphics	Rendering where images must update quickly enough to respond to input or animation.	Belongs to the chain: scene or image description -> representation choice -> sampling or rendering process -> visible image -> interaction or analysis	Do not confuse an image representation with the geometric cause of the image.
02	Rendering Pipeline	application stage	CPU-side preparation of models, scene data, interaction, animation, and rendering state.	Belongs to the chain: application data -> geometry stage -> primitive assembly -> rasterization -> fragment operations -> framebuffer	Do not collapse the whole pipeline into 'the GPU draws it'; name the intermediate representations.
02	Rendering Pipeline	geometry stage	Pipeline stage that transforms vertices and prepares primitives.	Belongs to the chain: application data -> geometry stage -> primitive assembly -> rasterization -> fragment operations -> framebuffer	Do not collapse the whole pipeline into 'the GPU draws it'; name the intermediate representations.
02	Rendering Pipeline	rasterization	Conversion of projected primitives into fragment candidates on a sample grid.	Belongs to the chain: application data -> geometry stage -> primitive assembly -> rasterization -> fragment operations -> framebuffer	Do not collapse the whole pipeline into 'the GPU draws it'; name the intermediate representations.
02	Rendering Pipeline	fragment	A candidate pixel contribution produced by rasterization before final tests and blending.	Belongs to the chain: application data -> geometry stage -> primitive assembly -> rasterization -> fragment operations -> framebuffer	Do not collapse the whole pipeline into 'the GPU draws it'; name the intermediate representations.
02	Rendering Pipeline	framebuffer	Memory target that stores color, depth, stencil, or related per-pixel results.	Belongs to the chain: application data -> geometry stage -> primitive assembly -> rasterization -> fragment operations -> framebuffer	Do not collapse the whole pipeline into 'the GPU draws it'; name the intermediate representations.
02	Rendering Pipeline	double buffering	Using front and back buffers so drawing can happen off-screen before display swap.	Belongs to the chain: application data -> geometry stage -> primitive assembly -> rasterization -> fragment operations -> framebuffer	Do not collapse the whole pipeline into 'the GPU draws it'; name the intermediate representations.
03	Geometric Transformations	homogeneous coordinates	Coordinates with an additional component that make translation and projection expressible by matrices.	Belongs to the chain: object/model coordinates -> model matrix -> world coordinates -> view matrix -> camera/view coordinates	Do not multiply matrices without naming source space, target space, and order.
